Rk,Player,Pos,Team,Bye
1.01,Saquon Barkley,RB,NYG,11
1.02,Alvin Kamara,RB,NO,9
1.03,Christian McCaffrey,RB,CAR,7
1.06,Ezekiel Elliott,RB,DAL,8
1.06,DeAndre Hopkins,WR,HOU,10
1.07,Nick Chubb,RB,CLE,7
1.08,James Conner,RB,PIT,7
1.08,LeVeon Bell,RB,NYJ,4
2.02,Julio Jones,WR,ATL,9
2.03,Dalvin Cook,RB,MIN,12
2.04,Michael Thomas,WR,NO,9
2.04,Tyreek Hill,WR,KC,12
2.06,Joe Mixon,RB,CIN,9
2.06,Odell Beckham Jr,WR,CLE,7
2.06,Pat Mahomes,QB,KC,12
2.08,JuJu Smith-Schuster,WR,PIT,7
2.09,Travis Kelce,TE,KC,12
2.1,Damien Williams,RB,KC,12
3.02,Mike Evans,WR,TB,7
3.03,Leonard Fournette,RB,JAX,10
3.04,Antonio Brown,WR,OAK,6
3.05,Adam Thielen,WR,MIN,12
3.06,Chris Carson,RB,SEA,11
3.07,Kerryon Johnson,RB,DET,5
3.08,Devonta Freeman,RB,ATL,9
3.08,Aaron Jones,RB,GB,11
3.1,Keenan Allen,WR,LAC,12
3.1,Josh Jacobs,RB,OAK,6
4.01,David Montgomery,RB,CHI,6
4.02,George Kittle,TE,SF,4
4.04,Amari Cooper,WR,DAL,8
4.05,Derrick Henry,RB,TEN,11
4.06,Sony Michel,RB,NE,10
4.06,Stefon Diggs,WR,MIN,12
4.07,Zach Ertz,TE,PHI,10
4.07,Melvin Gordon,RB,LAC,12
4.1,Mark Ingram,RB,BAL,8
4.1,Brandin Cooks,WR,LAR,9
5.02,Julian Edelman,WR,NE,10
5.03,Robert Woods,WR,LAR,9
5.03,Marlon Mack,RB,IND,6
5.04,Deshaun Watson,QB,HOU,10
5.04,Chris Godwin,WR,TB,7
5.06,Tyler Lockett,WR,SEA,11
5.08,Phillip Lindsay,RB,DEN,10
5.09,Cooper Kupp,WR,LAR,9
