Rk,Name,Pos,Team,Bye
1,Christian McCaffrey,RB,CAR,13
2,Saquon Barkley,RB,NYG,11
3,Derrick Henry,RB,TEN,7
4,Ezekiel Elliott,RB,DAL,10
5,Dalvin Cook,RB,MIN,7
6,Alvin Kamara,RB,NO,6
7,Clyde Edwards-Helaire,RB,KC,10
8,Michael Thomas,WR,NO,6
9,Josh Jacobs,RB,LV,6
10,Joe Mixon,RB,CIN,9
11,Nick Chubb,RB,CLE,9
12,Miles Sanders,RB,PHI,9
13,Kenyan Drake,RB,ARI,8
14,Aaron Jones,RB,GB,5
15,Pat Mahomes,QB,KC,10
16,Davante Adams,WR,GB,5
17,Tyreek Hill,WR,KC,10
18,Austin Ekeler,RB,LAC,10
19,Lamar Jackson,QB,BAL,8
20,Julio Jones,WR,ATL,10
21,Travis Kelce,TE,KC,10
22,James Conner,RB,PIT,8
23,DeAndre Hopkins,WR,ARI,8
24,Chris Carson,RB,SEA,6
25,Chris Godwin,WR,TB,13
26,David Johnson,RB,HOU,8
27,Kenny Golladay,WR,DET,5
28,George Kittle,TE,SF,11
29,Todd Gurley,RB,ATL,10
30,Mike Evans,WR,TB,13
31,Jonathan Taylor,RB,IND,7
32,Adam Thielen,WR,MIN,7
33,Melvin Gordon,RB,DEN,8
34,Amari Cooper,WR,DAL,10
35,LeVeon Bell,RB,NYJ,11
36,Mark Ingram,RB,BAL,8
37,Odell Beckham Jr,WR,CLE,9
38,Calvin Ridley,WR,ATL,10
39,Cooper Kupp,WR,LAR,9
40,JuJu Smith-Schuster,WR,PIT,8
41,Allen Robinson,WR,CHI,11
42,Raheem Mostert,RB,SF,11
43,A.J. Brown,WR,TEN,7
44,Mark Andrews,TE,BAL,8
45,D.K. Metcalf,WR,SEA,6
46,D.J. Moore,WR,CAR,13
47,Robert Woods,WR,LAR,9
48,Devin Singletary,RB,BUF,11
49,Tyler Lockett,WR,SEA,6
50,Leonard Fournette,RB,TB,13
51,Kareem Hunt,RB,CLE,9
52,Russell Wilson,QB,SEA,6
53,D.J. Chark,WR,JAX,7
54,Cam Akers,RB,LAR,9
55,Terry McLaurin,WR,WAS,8
56,Dak Prescott,QB,DAL,10
57,David Montgomery,RB,CHI,11
58,Zach Ertz,TE,PHI,9
59,Ronald Jones II,RB,TB,13
60,Stefon Diggs,WR,BUF,11
61,T.Y. Hilton,WR,IND,7
62,Kyler Murray,QB,ARI,8
63,D'Andre Swift,RB,DET,5
64,Marquise Brown,WR,BAL,8
65,Keenan Allen,WR,LAC,10
66,Deshaun Watson,QB,HOU,8
67,Courtland Sutton,WR,DEN,8
68,J.K. Dobbins,RB,BAL,8
69,Darren Waller,TE,LV,6
70,Marlon Mack,RB,IND,7
71,A.J. Green,WR,CIN,9
72,DeVante Parker,WR,MIA,11
73,Michael Gallup,WR,DAL,10
74,Will Fuller,WR,HOU,8
75,Jordan Howard,RB,MIA,11
76,Brandin Cooks,WR,HOU,8
77,Rob Gronkowski,TE,TB,13
78,Kerryon Johnson,RB,DET,5
79,Drew Brees,QB,NO,6
80,Deebo Samuel,WR,SF,11
81,Zack Moss,RB,BUF,11
82,Evan Engram,TE,NYG,11
83,Tyler Boyd,WR,CIN,9
84,Phillip Lindsay,RB,DEN,8
85,Sony Michel,RB,NE,6
86,Matt Ryan,QB,ATL,10
87,Aaron Rodgers,QB,GB,5
88,Jarvis Landry,WR,CLE,9
89,Tom Brady,QB,TB,13
90,Antonio Gibson,RB,WAS,8
91,Latavius Murray,RB,NO,6
92,Julian Edelman,WR,NE,6
93,Tevin Coleman,RB,SF,11
94,Marvin Jones,WR,DET,5
95,Hunter Henry,TE,LAC,10
96,Josh Allen,QB,BUF,11
97,Mecole Hardman,WR,KC,10
98,CeeDee Lamb,WR,DAL,10
99,Matt Breida,RB,MIA,11
100,Carson Wentz,QB,PHI,9
101,Diontae Johnson,WR,PIT,8
102,Alexander Mattison,RB,MIN,7
103,Emmanuel Sanders,WR,NO,6
104,San Francisco Defense,DEF,SF,11
105,Matthew Stafford,QB,DET,5
106,Damien Harris,RB,NE,6
107,Chase Edmonds,RB,ARI,8
108,Henry Ruggs III,WR,LV,6
109,James White,RB,NE,6
110,Jared Cook,TE,NO,6
111,Tyler Higbee,TE,LAR,9
112,Hayden Hurst,TE,ATL,10
113,Jerry Jeudy,WR,DEN,8
114,Darius Slayton,WR,NYG,11
115,Christian Kirk,WR,ARI,8
116,Baltimore Defense,DEF,BAL,8
117,Daniel Jones,QB,NYG,11
118,Tarik Cohen,RB,CHI,11
119,Austin Hooper,TE,CLE,9
120,Pittsburgh Defense,DEF,PIT,8
121,Sterling Shepard,WR,NYG,11
122,Darrell Henderson,RB,LAR,9
123,Ben Roethlisberger,QB,PIT,8
124,Cam Newton,QB,NE,6
125,Noah Fant,TE,DEN,8
126,Tony Pollard,RB,DAL,10
127,DeSean Jackson,WR,PHI,9
128,Justin Jefferson,WR,MIN,7
129,Buffalo Defense,DEF,BUF,11
130,A.J. Dillon,RB,GB,5
131,Baker Mayfield,QB,CLE,9
132,John Brown,WR,BUF,11
133,Ryquell Armstead,RB,JAX,7
134,Sammy Watkins,WR,KC,10
135,Jared Goff,QB,LAR,9
136,New England Defense,DEF,NE,6
137,Jamison Crowder,WR,NYJ,11
138,Boston Scott,RB,PHI,9
139,Chicago Defense,DEF,CHI,11
140,Justin Tucker,PK,BAL,8
141,Preston Williams,WR,MIA,11
142,Anthony Miller,WR,CHI,11
143,Bryce Love,RB,WAS,8
144,Damien Williams,RB,KC,10
145,Mike Williams,WR,LAC,10
146,Justin Jackson,RB,LAC,10
147,Harrison Butker,PK,KC,10
148,Jalen Reagor,WR,PHI,9
149,Joe Burrow,QB,CIN,9
150,T.J. Hockenson,TE,DET,5
151,Chris Thompson,RB,JAX,7
152,Ryan Tannehill,QB,TEN,7
153,LA Chargers Defense,DEF,LAC,10
154,Minnesota Defense,DEF,MIN,7
155,Mike Gesicki,TE,MIA,11
156,Allen Lazard,WR,GB,5
157,Carlos Hyde,RB,SEA,6
158,Kansas City Defense,DEF,KC,10
159,Ke'Shawn Vaughn,RB,TB,13
160,Duke Johnson,RB,HOU,8
161,Alshon Jeffery,WR,PHI,9
162,Greg Zuerlein,PK,DAL,10
163,Jonnu Smith,TE,TEN,7
164,Denver Defense,DEF,DEN,8
165,N'Keal Harry,WR,NE,6
166,Jerick McKinnon,RB,SF,11
167,Robby Anderson,WR,CAR,13
168,Wil Lutz,PK,NO,6
169,Philip Rivers,QB,IND,7
170,Benny Snell Jr.,RB,PIT,8
171,Chris Herndon IV,TE,NYJ,11
172,Kirk Cousins,QB,MIN,7
173,Tampa Bay Defense,DEF,TB,13
174,Brandon Aiyuk,WR,SF,11
175,Darrel Williams,RB,KC,10
176,Blake Jarwin,TE,DAL,10
177,New Orleans Defense,DEF,NO,6
178,LeSean McCoy,RB,TB,13
179,Golden Tate,WR,NYG,11
180,LA Rams Defense,DEF,LAR,9
181,Michael Pittman Jr.,WR,IND,7
182,Robbie Gould,PK,SF,11
183,O.J. Howard,TE,TB,13
184,Bryan Edwards,WR,LV,6
185,Larry Fitzgerald,WR,ARI,8
186,Younghoe Koo,PK,ATL,10
187,Zane Gonzalez,PK,ARI,8
188,Drew Lock,QB,DEN,8
189,Gardner Minshew,QB,JAX,7
190,Philadelphia Defense,DEF,PHI,9
191,Indianapolis Defense,DEF,IND,7
192,Dan Bailey,PK,MIN,7
193,Nyheim Hines,RB,IND,7
194,Dallas Defense,DEF,DAL,10
195,Matt Prater,PK,DET,5
196,Jake Elliott,PK,PHI,9
197,Kaimi Fairbairn,PK,HOU,8
198,Jason Myers,PK,SEA,6
199,Breshad Perriman,WR,NYJ,11
200,Jamaal Williams,RB,GB,5
