Rk,Player,Pos,Team,Bye
1,Christian McCaffrey,RB,CAR,13
2,Pat Mahomes,QB,KC,10
3,Saquon Barkley,RB,NYG,11
4,Lamar Jackson,QB,BAL,8
5,Ezekiel Elliott,RB,DAL,10
6,Alvin Kamara,RB,NO,6
7,Dalvin Cook,RB,MIN,7
8,Michael Thomas,WR,NO,6
9,Derrick Henry,RB,TEN,7
10,Josh Jacobs,RB,LV,6
11,Clyde Edwards-Helaire,RB,KC,10
12,Russell Wilson,QB,SEA,6
13,Davante Adams,WR,GB,5
14,Dak Prescott,QB,DAL,10
15,Kyler Murray,QB,ARI,8
16,Nick Chubb,RB,CLE,9
17,Joe Mixon,RB,CIN,9
18,Julio Jones,WR,ATL,10
19,Austin Ekeler,RB,LAC,10
20,Tyreek Hill,WR,KC,10
21,Deshaun Watson,QB,HOU,8
22,Aaron Jones,RB,GB,5
23,Miles Sanders,RB,PHI,9
24,DeAndre Hopkins,WR,ARI,8
25,Travis Kelce,TE,KC,10
26,Chris Godwin,WR,TB,13
27,George Kittle,TE,SF,11
28,Kenyan Drake,RB,ARI,8
29,Mike Evans,WR,TB,13
30,Drew Brees,QB,NO,6
31,Kenny Golladay,WR,DET,5
32,Aaron Rodgers,QB,GB,5
33,Adam Thielen,WR,MIN,7
34,Chris Carson,RB,SEA,6
35,Josh Allen,QB,BUF,11
36,Matt Ryan,QB,ATL,10
37,Leonard Fournette,RB,TB,13
38,Odell Beckham Jr,WR,CLE,9
39,LeVeon Bell,RB,NYJ,11
40,Melvin Gordon,RB,DEN,8
41,Carson Wentz,QB,PHI,9
42,Cooper Kupp,WR,LAR,9
43,Allen Robinson,WR,CHI,11
44,Calvin Ridley,WR,ATL,10
45,Amari Cooper,WR,DAL,10
46,David Johnson,RB,HOU,8
47,Tom Brady,QB,TB,13
48,D.J. Moore,WR,CAR,13
49,James Conner,RB,PIT,8
50,Robert Woods,WR,LAR,9
51,Todd Gurley,RB,ATL,10
52,Tyler Lockett,WR,SEA,6
53,Devin Singletary,RB,BUF,11
54,Matthew Stafford,QB,DET,5
55,Courtland Sutton,WR,DEN,8
56,D.K. Metcalf,WR,SEA,6
57,Daniel Jones,QB,NYG,11
58,T.Y. Hilton,WR,IND,7
59,A.J. Brown,WR,TEN,7
60,Mark Andrews,TE,BAL,8
61,Zach Ertz,TE,PHI,9
62,Stefon Diggs,WR,BUF,11
63,Keenan Allen,WR,LAC,10
64,Baker Mayfield,QB,CLE,9
65,David Montgomery,RB,CHI,11
66,D.J. Chark,WR,JAX,7
67,Mark Ingram,RB,BAL,8
68,Jared Goff,QB,LAR,9
69,Terry McLaurin,WR,WAS,8
70,Darren Waller,TE,LV,6
71,A.J. Green,WR,CIN,9
72,Jimmy Garoppolo,QB,SF,11
73,Michael Gallup,WR,DAL,10
74,Kareem Hunt,RB,CLE,9
75,Kerryon Johnson,RB,DET,5
76,Jonathan Taylor,RB,IND,7
77,Philip Rivers,QB,IND,7
78,JuJu Smith-Schuster,WR,PIT,8
79,Ronald Jones II,RB,TB,13
80,Jarvis Landry,WR,CLE,9
81,Kirk Cousins,QB,MIN,7
82,Tyler Boyd,WR,CIN,9
83,Will Fuller,WR,HOU,8
84,Marquise Brown,WR,BAL,8
85,DeVante Parker,WR,MIA,11
86,Marlon Mack,RB,IND,7
87,Brandin Cooks,WR,HOU,8
88,Ryan Tannehill,QB,TEN,7
89,Raheem Mostert,RB,SF,11
90,Evan Engram,TE,NYG,11
91,J.K. Dobbins,RB,BAL,8
92,Drew Lock,QB,DEN,8
93,Gardner Minshew,QB,JAX,7
94,Julian Edelman,WR,NE,6
95,Ben Roethlisberger,QB,PIT,8
96,Rob Gronkowski,TE,TB,13
97,Phillip Lindsay,RB,DEN,8
98,Deebo Samuel,WR,SF,11
99,CeeDee Lamb,WR,DAL,10
100,Hunter Henry,TE,LAC,10
101,Derek Carr,QB,LV,6
102,Christian Kirk,WR,ARI,8
103,Matt Breida,RB,MIA,11
104,Austin Hooper,TE,CLE,9
105,Marvin Jones,WR,DET,5
