Rk,Player,Pos,Team,Bye
1,Christian McCaffrey,RB,CAR,13
2,Dalvin Cook,RB,MIN,7
3,Derrick Henry,RB,TEN,13
4,Alvin Kamara,RB,NO,6
5,Ezekiel Elliott,RB,DAL,7
6,Nick Chubb,RB,CLE,13
7,Jonathan Taylor,RB,IND,14
8,Saquon Barkley,RB,NYG,10
9,Tyreek Hill,WR,KC,12
10,Travis Kelce,TE,KC,12
11,Aaron Jones,RB,GB,13
12,Davante Adams,WR,GB,13
13,Austin Ekeler,RB,LAC,7
14,Najee Harris,RB,PIT,7
15,Stefon Diggs,WR,BUF,7
16,Antonio Gibson,RB,WAS,9
17,Pat Mahomes,QB,KC,12
18,Joe Mixon,RB,CIN,10
19,D.K. Metcalf,WR,SEA,9
20,Clyde Edwards-Helaire,RB,KC,12
21,DeAndre Hopkins,WR,ARI,12
22,J.K. Dobbins,RB,BAL,8
23,Calvin Ridley,WR,ATL,6
24,Justin Jefferson,WR,MIN,7
25,Josh Jacobs,RB,LV,8
26,A.J. Brown,WR,TEN,13
27,Darren Waller,TE,LV,8
28,David Montgomery,RB,CHI,10
29,Josh Allen,QB,BUF,7
30,Chris Carson,RB,SEA,9
31,George Kittle,TE,SF,6
32,Keenan Allen,WR,LAC,7
33,Miles Sanders,RB,PHI,14
34,D'Andre Swift,RB,DET,9
35,Terry McLaurin,WR,WAS,9
36,Michael Thomas,WR,NO,6
37,Mike Evans,WR,TB,9
38,James Robinson,RB,JAX,7
39,Kyler Murray,QB,ARI,12
40,Allen Robinson,WR,CHI,10
41,Julio Jones,WR,TEN,13
42,CeeDee Lamb,WR,DAL,7
43,Dak Prescott,QB,DAL,7
44,Myles Gaskin,RB,MIA,14
45,Kareem Hunt,RB,CLE,13
46,Adam Thielen,WR,MIN,7
47,Kyle Pitts,TE,ATL,6
48,Lamar Jackson,QB,BAL,8
49,Amari Cooper,WR,DAL,7
50,Mike Davis,RB,ATL,6
51,Chris Godwin,WR,TB,9
52,Raheem Mostert,RB,SF,6
53,Justin Herbert,QB,LAC,7
54,Robert Woods,WR,LAR,11
55,Mark Andrews,TE,BAL,8
56,Travis Etienne,RB,JAX,7
57,Cooper Kupp,WR,LAR,11
58,Ja'Marr Chase,WR,CIN,10
59,Melvin Gordon,RB,DEN,11
60,Russell Wilson,QB,SEA,9
61,T.J. Hockenson,TE,DET,9
62,Kenny Golladay,WR,NYG,10
63,Javonte Williams,RB,DEN,11
64,Chase Edmonds,RB,ARI,12
65,Aaron Rodgers,QB,GB,13
66,Tyler Lockett,WR,SEA,9
67,Diontae Johnson,WR,PIT,7
68,Damien Harris,RB,NE,14
69,D.J. Moore,WR,CAR,13
70,Odell Beckham Jr,WR,CLE,13
71,Brandon Aiyuk,WR,SF,6
72,Darrell Henderson,RB,LAR,11
73,Ronald Jones II,RB,TB,9
74,Chase Claypool,WR,PIT,7
75,Tee Higgins,WR,CIN,10
76,Tom Brady,QB,TB,9
77,Leonard Fournette,RB,TB,9
