Rank,Player,Pos,Team,Bye
1,Christian McCaffrey,RB,CAR,13
2,Pat Mahomes,QB,KC,12
3,Dalvin Cook,RB,MIN,7
4,Alvin Kamara,RB,NO,6
5,Josh Allen,QB,BUF,7
6,Derrick Henry,RB,TEN,13
7,Kyler Murray,QB,ARI,12
8,Ezekiel Elliott,RB,DAL,7
9,Davante Adams,WR,GB,13
10,Lamar Jackson,QB,BAL,8
11,Travis Kelce,TE,KC,12
12,Aaron Jones,RB,GB,13
13,Nick Chubb,RB,CLE,13
14,Aaron Rodgers,QB,GB,13
15,Tyreek Hill,WR,KC,12
16,Austin Ekeler,RB,LAC,7
17,Dak Prescott,QB,DAL,7
18,Russell Wilson,QB,SEA,9
19,Saquon Barkley,RB,NYG,10
20,Jonathan Taylor,RB,IND,14
21,Najee Harris,RB,PIT,7
22,Stefon Diggs,WR,BUF,7
23,Justin Herbert,QB,LAC,7
24,Antonio Gibson,RB,WAS,9
25,DeAndre Hopkins,WR,ARI,12
26,Tom Brady,QB,TB,9
27,Calvin Ridley,WR,ATL,6
28,D.K. Metcalf,WR,SEA,9
29,Darren Waller,TE,LV,8
30,Clyde Edwards-Helaire,RB,KC,12
31,Joe Mixon,RB,CIN,10
32,Matthew Stafford,QB,LAR,11
33,Justin Jefferson,WR,MIN,7
34,Ryan Tannehill,QB,TEN,13
35,A.J. Brown,WR,TEN,13
36,David Montgomery,RB,CHI,10
37,George Kittle,TE,SF,6
38,Keenan Allen,WR,LAC,7
39,Chris Carson,RB,SEA,9
40,Jalen Hurts,QB,PHI,14
41,CeeDee Lamb,WR,DAL,7
42,Terry McLaurin,WR,WAS,9
43,James Robinson,RB,JAX,7
44,Josh Jacobs,RB,LV,8
45,Joe Burrow,QB,CIN,10
46,Allen Robinson,WR,CHI,10
47,Kyle Pitts,TE,ATL,6
48,D'Andre Swift,RB,DET,9
49,Mike Evans,WR,TB,9
50,Matt Ryan,QB,ATL,6
51,Robert Woods,WR,LAR,11
52,Miles Sanders,RB,PHI,14
53,Trevor Lawrence,QB,JAX,7
54,Amari Cooper,WR,DAL,7
55,Myles Gaskin,RB,MIA,14
56,Darrell Henderson,RB,LAR,11
57,Chris Godwin,WR,TB,9
58,Baker Mayfield,QB,CLE,13
59,Mark Andrews,TE,BAL,8
60,Julio Jones,WR,TEN,13
61,Mike Davis,RB,ATL,6
62,Cooper Kupp,WR,LAR,11
63,T.J. Hockenson,TE,DET,9
64,Diontae Johnson,WR,PIT,7
65,Kirk Cousins,QB,MIN,7
66,Tyler Lockett,WR,SEA,9
67,Javonte Williams,RB,DEN,11
