ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
1.01,1.4,Josh Allen,QB,BUF,447,0.7,1,5,7
1.02,2.3,Jonathan Taylor,RB,IND,485,1.0,1,6,14
1.03,2.5,Justin Herbert,QB,LAC,208,0.8,1,6,8
1.04,4.2,Christian McCaffrey,RB,CAR,342,1.6,1,9,13
1.04,4.4,Patrick Mahomes,QB,KC,480,1.4,1,9,8
1.06,6.4,Austin Ekeler,RB,LAC,322,1.7,2,15,8
1.07,7.3,Derrick Henry,RB,TEN,299,1.9,2,15,6
1.08,7.9,Justin Jefferson,WR,MIN,394,2.2,2,15,7
1.08,8.2,Lamar Jackson,QB,BAL,480,2.4,1,17,10
1.10,9.7,Cooper Kupp,WR,LAR,376,3.0,1,16,7
2.01,11.3,Najee Harris,RB,PIT,278,2.6,4,19,9
2.01,11.4,Dalvin Cook,RB,MIN,462,2.6,4,22,7
2.03,12.5,Joe Burrow,QB,CIN,317,3.2,4,20,10
2.03,13.4,Kyler Murray,QB,ARI,394,3.0,5,22,13
2.04,13.9,Jalen Hurts,QB,PHI,595,3.5,4,25,7
2.04,14.1,Ja'Marr Chase,WR,CIN,443,2.7,6,22,10
2.06,15.7,Joe Mixon,RB,CIN,420,3.4,6,28,10
2.08,18.1,Russell Wilson,QB,DEN,417,3.6,8,29,9
2.09,18.7,D'Andre Swift,RB,DET,278,3.1,10,30,6
2.10,19.9,Davante Adams,WR,LV,358,3.4,10,28,6
2.10,20.0,Alvin Kamara,RB,NO,638,3.6,10,35,14
3.01,20.8,Stefon Diggs,WR,BUF,372,3.3,12,31,7
3.02,22.4,Travis Kelce,TE,KC,287,4.4,10,33,8
3.04,24.0,Aaron Jones,RB,GB,396,3.5,14,34,14
3.04,24.3,Tom Brady,QB,TB,497,4.9,11,43,11
3.05,25.4,Nick Chubb,RB,CLE,234,3.8,15,35,9
3.06,25.8,CeeDee Lamb,WR,DAL,291,3.3,17,34,9
3.07,26.6,Matthew Stafford,QB,LAR,363,4.6,14,37,7
3.07,26.6,Saquon Barkley,RB,NYG,599,4.3,15,38,9
3.08,28.2,Dak Prescott,QB,DAL,493,4.3,17,43,9
3.10,29.7,Deebo Samuel,WR,SF,323,4.1,19,40,9
4.01,30.7,Trey Lance,QB,SF,278,5.2,17,44,9
4.02,31.9,Aaron Rodgers,QB,GB,365,4.3,20,43,14
4.03,32.8,Leonard Fournette,RB,TB,422,4.3,21,48,11
4.03,33.1,Javonte Williams,RB,DEN,641,4.8,20,46,9
4.04,33.9,Mark Andrews,TE,BAL,314,4.7,21,47,10
4.06,35.6,Tyreek Hill,WR,MIA,435,4.5,23,46,11
4.06,36.2,Derek Carr,QB,LV,377,4.3,25,50,6
4.09,38.8,Mike Evans,WR,TB,309,4.2,27,50,11
4.09,39.5,Kirk Cousins,QB,MIN,440,4.8,26,54,7
4.10,39.8,Ezekiel Elliott,RB,DAL,250,5.1,26,58,9
5.01,41.0,James Conner,RB,ARI,409,5.1,27,63,13
5.02,42.0,Keenan Allen,WR,LAC,389,4.6,30,54,8
5.02,42.2,Michael Pittman Jr.,WR,IND,434,4.9,29,54,14
5.03,43.0,Kyle Pitts,TE,ATL,436,5.7,28,57,14
5.05,44.7,A.J. Brown,WR,PHI,388,5.2,31,61,7
5.05,45.2,Travis Etienne,RB,JAX,470,5.1,32,59,11
5.08,47.5,Tee Higgins,WR,CIN,361,3.8,37,60,10
5.08,48.5,Matt Ryan,QB,IND,262,5.0,35,60,14
5.09,48.7,David Montgomery,RB,CHI,250,5.1,35,63,14
5.09,48.9,Tua Tagovailoa,QB,MIA,309,5.2,36,66,11
6.02,52.0,Cam Akers,RB,LAR,250,5.9,36,64,7
6.02,52.5,Mike Williams,WR,LAC,474,4.7,40,68,8
6.03,52.7,J.K. Dobbins,RB,BAL,165,5.2,39,69,10
6.03,53.3,Terry McLaurin,WR,WAS,284,4.6,41,66,14
6.03,53.5,Trevor Lawrence,QB,JAX,305,5.5,39,70,11
6.05,55.5,George Kittle,TE,SF,340,6.1,39,71,9
6.07,56.8,Breece Hall,RB,NYJ,263,5.7,42,71,10
6.07,56.9,Courtland Sutton,WR,DEN,686,5.9,41,74,9
6.08,58.0,Elijah Mitchell,RB,SF,302,5.5,43,73,9
6.09,59.0,Darren Waller,TE,LV,313,6.5,42,77,6
6.10,60.0,D.K. Metcalf,WR,SEA,184,5.3,46,78,11
7.01,61.5,Jameis Winston,QB,NO,405,7.7,41,86,14
7.02,62.0,Josh Jacobs,RB,LV,268,6.0,46,76,6
7.02,62.3,A.J. Dillon,RB,GB,372,6.5,45,80,14
7.03,63.0,Justin Fields,QB,CHI,304,8.5,41,84,14
7.04,63.6,Diontae Johnson,WR,PIT,258,6.2,47,80,9
7.05,65.2,Jaylen Waddle,WR,MIA,294,5.5,50,81,11
7.06,66.2,Michael Thomas,WR,NO,253,6.0,50,80,14
7.07,67.1,D.J. Moore,WR,CAR,604,7.7,46,85,13
7.08,68.4,Clyde Edwards-Helaire,RB,KC,268,6.3,52,82,8
7.09,69.2,Chris Godwin,WR,TB,301,6.4,52,85,11
7.10,69.7,Allen Robinson,WR,LAR,456,6.2,53,94,7
8.01,71.2,Dalton Schultz,TE,DAL,333,7.7,51,93,9
8.03,73.3,Brandin Cooks,WR,HOU,289,5.9,58,90,6
8.04,74.2,Miles Sanders,RB,PHI,125,6.5,57,91,7
8.06,76.3,Adam Thielen,WR,MIN,250,6.1,60,93,7
8.07,76.6,Rashaad Penny,RB,SEA,302,7.1,58,98,11
8.07,77.0,Jerry Jeudy,WR,DEN,293,6.3,60,93,9
8.08,77.6,Gabriel Davis,WR,BUF,465,6.8,60,96,7
8.08,78.1,Antonio Gibson,RB,WAS,164,7.0,60,92,14
8.08,78.5,Ryan Tannehill,QB,TEN,174,9.1,54,107,6
8.10,80.1,Tony Pollard,RB,DAL,207,7.4,60,97,9
9.01,80.6,T.J. Hockenson,TE,DET,157,7.8,60,97,6
9.04,83.8,Daniel Jones,QB,NYG,161,11.4,54,111,9
9.04,84.4,Chase Edmonds,RB,MIA,473,7.3,65,108,11
9.04,84.5,Marquise Brown,WR,ARI,328,6.9,66,103,13
9.05,84.6,Darnell Mooney,WR,CHI,235,7.1,66,106,14
9.06,85.5,Damien Harris,RB,NE,136,9.2,61,104,10
9.07,87.0,Amon-Ra St. Brown,WR,DET,506,7.4,67,112,6
9.07,87.3,Kareem Hunt,RB,CLE,205,6.8,69,105,9
9.08,88.4,Dameon Pierce,RB,HOU,828,11.2,59,111,6
9.09,89.2,Mac Jones,QB,NE,146,12.4,58,119,10
9.10,90.3,JuJu Smith-Schuster,WR,KC,512,8.5,68,107,8
9.10,90.4,DeAndre Hopkins,WR,ARI,340,6.8,72,111,13
10.01,91.4,Hunter Renfrow,WR,LV,190,7.0,73,110,6
10.02,92.5,Devin Singletary,RB,BUF,224,9.6,67,117,7
10.03,93.5,Rhamondre Stevenson,RB,NE,434,9.1,69,114,10
10.04,93.7,Deshaun Watson,QB,CLE,99,10.3,66,118,9
