"ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye"
"1.02,1.7,Patrick Mahomes,QB,KC,251,0.9,1,7,10"
"1.02,2.2,Justin Jefferson,WR,MIN,115,1.3,1,6,13"
"1.03,2.8,Josh Allen,QB,BUF,240,1.0,1,8,13"
"1.03,3.3,Jalen Hurts,QB,PHI,397,1.3,1,7,10"
"1.05,5.0,Christian McCaffrey,RB,SF,182,1.9,1,11,9"
"1.07,6.9,Joe Burrow,QB,CIN,223,1.7,2,12,7"
"1.08,7.6,Travis Kelce,TE,KC,99,2.3,1,13,10"
"1.09,8.5,Lamar Jackson,QB,BAL,440,2.5,2,18,13"
"1.09,8.6,Ja'Marr Chase,WR,CIN,335,2.5,2,15,7"
"1.09,9.1,Tyreek Hill,WR,MIA,198,2.0,4,15,10"
"1.09,9.1,Austin Ekeler,RB,LAC,232,2.3,3,16,5"
"2.01,11.1,Justin Herbert,QB,LAC,317,2.6,4,17,5"
"2.03,13.2,Justin Fields,QB,CHI,253,2.6,7,21,13"
"2.04,14.0,Nick Chubb,RB,CLE,266,2.9,6,23,5"
"2.04,14.3,Cooper Kupp,WR,LAR,54,2.4,10,20,10"
"2.05,15.0,Bijan Robinson,RB,ATL,260,3.8,4,23,11"
"2.07,16.7,Stefon Diggs,WR,BUF,272,2.8,10,24,13"
"2.08,18.2,Trevor Lawrence,QB,JAX,365,3.7,9,30,9"
"2.08,18.2,Garrett Wilson,WR,NYJ,191,3.2,9,33,7"
"2.09,18.9,Saquon Barkley,RB,NYG,280,3.2,10,27,13"
"2.10,20.5,Derrick Henry,RB,TEN,200,3.2,12,29,7"
"3.02,21.5,CeeDee Lamb,WR,DAL,230,3.1,13,29,7"
"3.03,23.0,A.J. Brown,WR,PHI,305,3.0,15,30,10"
"3.04,23.8,Amon-Ra St. Brown,WR,DET,291,3.1,15,30,9"
"3.04,23.8,Tony Pollard,RB,DAL,421,3.6,14,33,7"
"3.05,24.8,Davante Adams,WR,LV,253,3.9,14,34,13"
"3.07,26.5,Dak Prescott,QB,DAL,120,4.9,13,37,7"
"3.07,27.4,Josh Jacobs,RB,LV,320,3.3,18,37,13"
"3.09,28.9,Aaron Rodgers,QB,NYJ,197,5.8,13,39,7"
"3.10,29.7,Chris Olave,WR,NO,287,2.9,22,39,11"
"4.01,30.6,Jonathan Taylor,RB,IND,30,6.0,14,44,11"
"4.03,32.7,Tua Tagovailoa,QB,MIA,210,5.1,19,46,10"
"4.03,32.8,Najee Harris,RB,PIT,97,3.8,23,42,6"
"4.03,33.3,Mark Andrews,TE,BAL,154,3.6,23,54,13"
"4.04,33.6,Tee Higgins,WR,CIN,176,4.1,22,46,7"
"4.04,33.9,Jaylen Waddle,WR,MIA,383,4.0,23,46,10"
"4.06,35.7,Travis Etienne,RB,JAX,225,4.6,25,49,9"
"4.07,36.7,Joe Mixon,RB,CIN,279,4.6,24,49,7"
"4.07,37.0,Kirk Cousins,QB,MIN,180,6.2,20,54,13"
"4.08,38.3,Rhamondre Stevenson,RB,NE,184,5.8,23,53,11"
"4.10,40.2,Deebo Samuel,WR,SF,204,5.4,26,54,9"
"5.02,41.6,Amari Cooper,WR,CLE,159,6.5,24,53,5"
"5.02,42.1,Keenan Allen,WR,LAC,205,6.4,29,56,5"
"5.02,42.3,Aaron Jones,RB,GB,163,4.5,30,53,6"
"5.03,42.9,Daniel Jones,QB,NYG,207,6.2,26,57,13"
"5.03,43.4,Deshaun Watson,QB,CLE,331,9.0,20,60,5"
"5.05,44.6,Calvin Ridley,WR,JAX,486,6.5,27,64,9"
"5.05,44.8,D.K. Metcalf,WR,SEA,266,5.4,30,59,5"
"5.05,45.3,Kenneth Walker III,RB,SEA,123,4.4,33,55,5"
"5.07,46.6,Jahmyr Gibbs,RB,DET,445,6.1,30,60,9"
"5.08,47.6,T.J. Hockenson,TE,MIN,145,6.4,30,61,13"
"6.01,50.8,Russell Wilson,QB,DEN,58,5.3,36,60,9"
"6.01,51.1,D'Andre Swift,RB,PHI,82,7.0,32,67,10"
"6.02,51.6,Jared Goff,QB,DET,203,6.4,34,66,9"
"6.02,51.6,DeVonta Smith,WR,PHI,468,7.3,32,73,10"
"6.03,52.7,Anthony Richardson,QB,IND,209,7.5,33,69,11"
"6.04,53.5,Dameon Pierce,RB,HOU,263,5.1,40,67,7"
"6.06,55.8,Javonte Williams,RB,DEN,104,5.6,41,69,9"
"6.08,58.5,D.J. Moore,WR,CHI,281,5.8,43,75,13"
"6.10,59.6,Chris Godwin,WR,TB,94,5.8,46,72,5"
"6.10,60.0,Miles Sanders,RB,CAR,74,5.0,49,71,7"
"7.01,60.6,Breece Hall,RB,NYJ,174,6.7,43,73,7"
"7.02,62.1,George Kittle,TE,SF,183,7.0,43,84,9"
"7.02,62.4,James Conner,RB,ARI,85,6.4,45,72,14"
"7.03,62.6,Alexander Mattison,RB,MIN,278,6.2,46,78,13"
"7.04,64.4,J.K. Dobbins,RB,BAL,180,5.8,49,78,13"
"7.05,64.8,Derek Carr,QB,NO,182,7.8,44,84,11"
