Rk,Player,Pos,Team,Bye
1,Saquon Barkley,RB,NYG,11
2,Alvin Kamara,RB,NO,9
3,Christian McCaffrey,RB,CAR,7
4,Ezekiel Elliott,RB,DAL,8
5,David Johnson,RB,ARI,12
6,Nick Chubb,RB,CLE,7
7,James Conner,RB,PIT,7
8,LeVeon Bell,RB,NYJ,4
9,DeAndre Hopkins,WR,HOU,10
10,Davante Adams,WR,GB,11
11,Julio Jones,WR,ATL,9
12,Dalvin Cook,RB,MIN,12
13,Todd Gurley,RB,LAR,9
14,Michael Thomas,WR,NO,9
15,Tyreek Hill,WR,KC,12
16,Joe Mixon,RB,CIN,9
17,Odell Beckham Jr,WR,CLE,7
18,JuJu Smith-Schuster,WR,PIT,7
19,Pat Mahomes,QB,KC,12
20,Travis Kelce,TE,KC,12
21,Damien Williams,RB,KC,12
22,Mike Evans,WR,TB,7
23,Leonard Fournette,RB,JAX,10
24,Antonio Brown,WR,OAK,6
25,Chris Carson,RB,SEA,11
26,Adam Thielen,WR,MIN,12
27,Kerryon Johnson,RB,DET,5
28,Aaron Jones,RB,GB,11
29,Devonta Freeman,RB,ATL,9
30,Keenan Allen,WR,LAC,12
31,Josh Jacobs,RB,OAK,6
32,David Montgomery,RB,CHI,6
33,George Kittle,TE,SF,4
34,Amari Cooper,WR,DAL,8
35,Derrick Henry,RB,TEN,11
36,Sony Michel,RB,NE,10
37,Melvin Gordon,RB,LAC,12
38,Stefon Diggs,WR,MIN,12
39,Mark Ingram,RB,BAL,8
40,Zach Ertz,TE,PHI,10
41,Brandin Cooks,WR,LAR,9
42,Marlon Mack,RB,IND,6
43,Julian Edelman,WR,NE,10
44,Robert Woods,WR,LAR,9
45,Chris Godwin,WR,TB,7
46,Tyler Lockett,WR,SEA,11
47,Phillip Lindsay,RB,DEN,10
48,Deshaun Watson,QB,HOU,10
49,Tevin Coleman,RB,SF,4
50,Cooper Kupp,WR,LAR,9
51,Kenny Golladay,WR,DET,5
52,Miles Sanders,RB,PHI,10
53,Aaron Rodgers,QB,GB,11
54,T.Y. Hilton,WR,IND,6
55,A.J. Green,WR,CIN,9
56,Mike Williams,WR,LAC,12
57,O.J. Howard,TE,TB,7
58,Calvin Ridley,WR,ATL,9
59,Austin Ekeler,RB,LAC,12
60,Tyler Boyd,WR,CIN,9
61,Evan Engram,TE,NYG,11
62,Josh Gordon,WR,NE,10
63,Derrius Guice,RB,WAS,10
64,James White,RB,NE,10
65,Hunter Henry,TE,LAC,12
66,Latavius Murray,RB,NO,9
67,D.J. Moore,WR,CAR,7
68,Baker Mayfield,QB,CLE,7
69,Robby Anderson,WR,NYJ,4
70,Matt Ryan,QB,ATL,9
71,Alshon Jeffery,WR,PHI,10
72,Jarvis Landry,WR,CLE,7
73,Jared Cook,TE,NO,9
74,Carson Wentz,QB,PHI,10
75,Tarik Cohen,RB,CHI,6
76,Will Fuller,WR,HOU,10
77,Allen Robinson,WR,CHI,6
78,Kenyan Drake,RB,MIA,5
79,Duke Johnson,RB,HOU,10
80,Drew Brees,QB,NO,9
81,Dede Westbrook,WR,JAX,10
82,Curtis Samuel,WR,CAR,7
83,Vance McDonald,TE,PIT,7
84,Christian Kirk,WR,ARI,12
85,Russell Wilson,QB,SEA,11
86,Rashaad Penny,RB,SEA,11
87,Darrell Henderson,RB,LAR,9
88,Jared Goff,QB,LAR,9
89,Chicago Defense,DEF,CHI,6
90,Marvin Jones,WR,DET,5
91,Jordan Howard,RB,PHI,10
92,Darwin Thompson,RB,KC,12
93,Cam Newton,QB,CAR,7
94,Sammy Watkins,WR,KC,12
95,Emmanuel Sanders,WR,DEN,10
96,Matt Breida,RB,SF,4
97,David Njoku,TE,CLE,7
98,Royce Freeman,RB,DEN,10
